sample	clade	PC1	PC2
wMU__EXTvDNAZYP0035A01_G12	Vv	-31.26370465133511	-0.8308296775835727
pc07082020_7__EXTvDNAcou0039A01_F02	Vv	-18.074652018498067	-1.341016165598133
FRESNOSEEDLESS__BIvDNAnae0003A03_H04	Vv	-30.90717331946052	-0.3639529752144715
S3811__vDNAhei1337F11_B02	NA1	33.94952154327264	32.28463838882225
CH1140-11__vDNAwor1521F05_E12	Mus	36.63786730885031	-39.42570312691623
A2Y1_C49L__vDNAlon917B04_E04	Vv	-29.5344629147592	-0.11202315924073007
Riesling__Muscadine_Plate3_H02	Vv	-29.626797483003713	0.09349419203017915
2010-140__vDNAwor1522F06_E07	Mus	36.19442217411254	-38.04459252215937
S3208__vDNAhei1336F10_G02	NA2	25.58646484992235	21.82156113269908
187__EXTvDNAels0023A02_G08	Mus	40.97189713384303	-44.069677680219634
5.10.84__EXTvDNAbar0012C03_F05	Vv	-31.5024610043062	-0.5257800906750834
Ark1214_21__EXTvDNAWOR0030A04_E11	Mus	39.968237815442905	-41.266731939269995
1876.0000E__BIvDNAara0067A01_G11	NA1	39.03040937248986	36.78679072212592
144__EXTvDNAels0023A02_D03	Mus	41.402307910042936	-44.22269397037398
E150__vDNAlon1139F07_E02	NA1	40.25413801256144	40.1156621952544
125__EXTvDNAels0022A01_H12	Mus	43.034979445067584	-45.443190616498576
PI_495622__BIvDNAgut0036C12_E02	NA1	40.30488997065409	38.6101494569133
L0323__vDNAhei1312D10_H08	Vv	-21.62204909814472	-0.5762471893906277
E149__vDNAlon1139F07_F02	NA1	40.944118435625256	40.42117550932931
Seyval_Blanc__vDNAhat906A05_D01	NA1	38.780326180675274	37.22028254154346
5.3.115__EXTvDNAbar0009D07_D12	Vv	-30.68909391919787	-0.04954809661035572
9.6.218__EXTvDNAbar0005H11_C05	Vv	-33.23919949372302	-0.8748773505577445
C23_2023__vDNAcad1357E10_F11	NA1	39.752685637610774	38.71608582570769
8.6.24__EXTvDNAbar0002B03_C06	Vv	-31.353232096037964	-0.44145652688708886
1958.0000F__BIvDNAara0065F05_H09	NA2	24.999814071395914	21.459581808426897
wMU__EXTvDNAZYP0036A02_G12	Vv	-31.436566310950795	-0.5212004890748868
2217.0009A__BIvDNAara0067A01_G08	NA2	28.527661441507597	23.977666270483976
DVIT2312_0000B__BIvDNAara1101A05_H08	Vv	-27.3919376563146	-0.7985214700567398
DVIT2391_0000B__BIvDNAara1073G01_E02	Vv	-19.583755504778097	-1.7186358287563932
DVIT2306_0000A__BIvDNAara1076G04_D12	Vv	-26.759963971688883	-1.0288777150158916
588198__vDNAlon096H12_B06	NA2	28.15654863765602	23.970198004066308
83__EXTvDNAels0022A01_F07	Mus	40.887410976470264	-44.14403480870325
126__EXTvDNAels0023A02_A01	Mus	39.406154448021034	-42.535688609703364
Y539-38__BIvDNAnae0003A03_F01	Vv	-32.66026592758597	-0.725002239406139
ND_1_99_16__vDNAhat908A07_H05	NA1	34.96428971888455	35.038316630582045
DVIT2337_0000B__BIvDNAara1101A05_B07	Vv	-20.80892816140544	-1.1305140475035407
Chaouch__vDNAlon508A12_B12	Vv	-27.26978226480829	-0.5953317167651685
76__EXTvDNAels0022A01_G06	Mus	41.6384216529836	-44.68593254572893
Y537-87__BIvDNAnae0002A02_E11	Vv	-31.748826120056176	-0.5923673543795629
DVIT0603_0000C__BIvDNAara1075G03_E12	Vv	-20.570347309407634	-1.3338012572402016
9.1.76__EXTvDNAbar0003C04_H01	Vv	-28.673901086566353	-0.005687939635165902
0469.0000E__BIvDNAara0051E03_F12	Vv	-15.153941520588045	-1.3250829245519442
2252.0010A__BIvDNAara0067A01_G06	NA2	26.190586630440883	21.20082729229185
PI_588590.m__BIvDNAgut0037D01_C03	NA1	40.411150090211024	38.81459897700915
PW_1_2__EXTvDNAhau1399G07_A01	Vv	-31.503909221973498	-0.4981189912077546
W0303__vDNAhei1341G03_G03	Vv	-24.29796167961863	0.8236934593488153
71__EXTvDNAels0022A01_C06	Mus	41.651258357192546	-44.67979267368826
377__EXTvDNAels0025A04_G08	Mus	41.20672854365485	-43.84738310433186
0419.0000C__BIvDNAara0048D12_F05	Vv	-12.110541465550767	-1.0439541146368159
160x271_795__vDNAlon505A09_E06	NA1	34.842025177131596	33.296531083030956
AM-373__vDNAwor1521F05_F10	Mus	38.0581677109433	-39.32835276852395
CINA__EXTvDNAsca1439D04_C09	NA2	28.308161566462722	24.013023125462766
DVIT0888_0000C__BIvDNAara1099A03_D04	Vv	-20.506277360712428	-1.5975067583183962
A2Y1_C332L__vDNAlon918B05_B07	Vv	-30.48754701402714	-0.7732915446466396
9.6.195__EXTvDNAbar0005H11_B04	Vv	-33.16313263473867	-0.3110736385410033
S1302__vDNAhei1331F05_G11	NA1	37.00778521172159	32.03283285357958
160x271_910__vDNAlon506A10_E09	NA1	36.09327065394319	35.16966221941005
