sample	clade	PC1	PC2
2218.0018A__BIvDNAara0067A01_A10	NA2	-5.998806375309471	-19.73013440738634
2220.0002A__BIvDNAara0067A01_E10	NA2	-6.217662512196926	-19.682311010231224
2224.0005A__BIvDNAara0067A01_A06	NA2	-6.615625956066447	-19.082368788716945
2228.0014A__BIvDNAara0067A01_B04	NA2	-4.9617354941111005	-18.07234045613004
2233.0007A__BIvDNAara0069A03_B11	NA2	-6.2887182676204265	-20.42317686072274
2234.0006A__BIvDNAara0069A03_C12	NA2	-5.987823503956104	-20.92545436038728
2237.0005A__BIvDNAara0067A01_G01	NA1	-4.863421591901554	-35.36718373825793
2241.0012A__BIvDNAara0066F06_G04	Mus	48.043467584340846	13.3129610229427
2242.0008A__BIvDNAara0066F06_F05	Mus	48.210344139227075	12.872652455512002
2244.0003A__BIvDNAara0065F05_E12	Mus	49.09929214691196	13.607459269493436
2261.0000C__BIvDNAara0065F05_G04	Vv	-28.04773725350364	38.19781383587236
2365.0000C__BIvDNAara0068A02_D05	NA2	-4.98369970373583	-16.298998178849626
2371.0000B__BIvDNAara0068A02_C03	NA2	-5.350234128118743	-15.031501563633656
246__EXTvDNAels0024A03_D04	Mus	54.012610003667575	14.73186997043333
2512.0000B__BIvDNAara0052E04_E01	Vv	-10.520073678516288	16.54813046077826
252__EXTvDNAels0024A03_B05	Mus	53.76871273110965	14.377110602621926
2549_007__vDNAcad1066F06_A04	EA	-16.207156242276554	7.41503572004959
261__EXTvDNAels0024A03_B06	Mus	52.7136143880346	14.323691248040538
2735.0009A__BIvDNAara0073A07_F03	Mus	18.227924340195045	3.847486496067357
2750.0000A__BIvDNAara0052E04_H10	Vv	-11.735649174329359	18.59929448954966
282__EXTvDNAels0024A03_G08	Mus	53.887213606626	14.780979704151065
287__EXTvDNAels0024A03_D09	Mus	53.28004255928625	14.308358354502248
2900.0000B__BIvDNAara0053E05_H01	Vv	-9.821133230788341	14.972857851011213
2920.0000A__BIvDNAara0053E05_D04	Vv	-10.312638258854252	15.531032336440246
297__EXTvDNAels0024A03_F10	Mus	53.65784111694668	14.637837495532041
3153.0000A__BIvDNAara0046D10_B08	Vv	-8.75420147191956	14.390549481612434
3309C_4__vDNAfen1153A07_F05	NA1	-3.8068373034468572	-26.082484431631897
337__EXTvDNAels0025A04_F03	Mus	52.27753228138509	14.12798794178407
378__EXTvDNAels0025A04_H08	Mus	53.07097022088981	14.358553987308156
394__EXTvDNAels0025A04_H10	Mus	52.95154370539587	14.154481431957354
44__EXTvDNAels0022A01_H02	Mus	54.017337263182775	14.904446816572296
483146__vDNAlon095H11_C04	NA2	-5.594179072862836	-14.680385443484363
483147_023__vDNAcad1069F09_G02	NA2	-5.35599666967503	-14.205637830843054
483147_026__vDNAcad1069F09_B03	NA2	-4.4358381965416225	-11.786967674693512
483161__vDNAlon095H11_H02	NA2	-5.556918191974882	-14.94387318069297
48__EXTvDNAels0022A01_D03	Mus	52.97887887164389	14.34751443880931
5.10.66__EXTvDNAbar0007B03_B11	Vv	-29.961937007114102	41.594343737435516
55__EXTvDNAels0022A01_C04	Mus	53.854839989340554	14.830964873748131
588060__vDNAlon096H12_A10	EA	-16.59412364336114	7.636607738476851
588143__vDNAlon096H12_B08	NA2	-6.272750242404101	-20.878359829774407
588186__vDNAlon096H12_B07	NA2	-6.532294213975139	-20.28291431014115
588197__vDNAlon096H12_F06	NA2	-6.3681215963121085	-20.23625158805674
588216__vDNAlon096H12_C08	NA2	-5.916455266711481	-20.08670332567891
588271__vDNAfen1148A02_D02	NA1	-5.552560897923937	-39.60849753806095
588271__vDNAlon505A09_D09	NA1	-4.6276136697075305	-35.490504835055226
588378__vDNAlon096H12_C02	NA1	-5.040013123985123	-34.97272075891798
588382__vDNAlon096H12_C05	EA	-17.255590784222747	8.67483347379284
588385__vDNAcad441D05_B06	EA	-17.227207359224536	7.47703346026935
588406__vDNAlon095H11_H09	NA1	-4.849594179957382	-36.310741209600415
588446__vDNAlon787A12_H07	NA2	-6.197621356344663	-20.356326155464597
588460__vDNAlon096H12_D09	NA2	-6.395991818334788	-20.506406588473663
588465__vDNAlon095H11_B07	EA	-16.18081965235889	7.0706980604996446
588629__vDNAcad441D05_D06	EA	-17.258734922839214	8.189457317853345
588629__vDNAlon096H12_B05	EA	-17.08037811404784	7.843479090335218
