55__EXTvDNAels0022A01_C04	Mus
483147_023__vDNAcad1069F09_G02	NA2
1961.0000C__BIvDNAara0065F05_B10	NA2
E233__vDNAlon1140F08_G05	NA1
588637__vDNAlon787A12_C08	EA
1920.0000A__BIvDNAara0065F05_A12	NA2
PI_588165__BIvDNAgut0026C02_H09	NA2
19-19_02__vDNAcad1068F08_F02	NA2
ND_1_99_49__vDNAhat908A07_D10	NA1
160x271_877__vDNAlon506A10_D05	NA1
PI_588384__BIvDNAgut0035C11_B09	NA1
588678__vDNAlon096H12_G08	NA2
160x271_785__vDNAlon505A09_C05	NA1
Merlot__vDNAlon1140F08_H10	Vv
PI_588385__BIvDNAgut0035C11_A12	EA
17_109_12__vDNAcad1067F07_E10	EA
B32_94__vDNAled565B03_G09	Vv
E097__vDNAlon1139F07_E09	NA1
0414.0000W__BIvDNAara0048D12_D05	Vv
588630__vDNAlon096H12_C04	EA
1701_93__EXTvDNAWOR0048A02_G01	Mus
E206__vDNAlon1140F08_H02	NA1
2006.0005A__BIvDNAara0065F05_C08	EA
2005.0010A__BIvDNAara0065F05_G10	EA
1156.0003A__BIvDNAara0065F05_E08	EA
588636__vDNAlon096H12_G04	EA
S1814__vDNAhei1333F07_A05	NA2
17_109_27__vDNAcad1067F07_B12	EA
PI_588213__BIvDNAgut0026C02_H01	NA1
588446__vDNAlon787A12_H07	NA2
E213__vDNAlon1140F08_G03	NA1
PI_588220__BIvDNAgut0031C07_E01	NA2
Jumbo__Muscadine_Plate1_G07	Mus
S3718__vDNAhei1336F10_F12	NA1
DVIT2732__vDNAcad796B09_D09	EA
E129__vDNAlon1139F07_A05	NA1
588633__vDNAlon096H12_A05	EA
Scuppernong__Muscadine_Plate2_A01	Mus
E194__vDNAlon1140F08_D01	NA1
588635__vDNAcad441D05_A05	EA
588186__vDNAlon096H12_B07	NA2
2216.0006A__BIvDNAara0053E05_F12	NA2
PI_588341__BIvDNAgut0028C04_C05	NA2
B24-10__EXTvDNAsca1443D08_F06	NA2
17_109_36__vDNAcad1065F05_C02	EA
588635__vDNAlon787A12_B08	EA
2261.0000C__BIvDNAara0065F05_G04	Vv
PI_588173__BIvDNAgut0027C03_F04	NA2
S0511__vDNAhei1330F04_G07	NA2
2244.0003A__BIvDNAara0065F05_E12	Mus
588271__vDNAfen1148A02_D02	NA1
ND_1_99_45__vDNAhat908A07_H09	NA1
PI_597145__BIvDNAgut0028C04_D09	NA1
E078__vDNAlon1138F06_G10	NA1
588060__vDNAlon096H12_A10	EA
PI_483169__BIvDNAgut0032C08_B03	NA1
2217.0006A__BIvDNAara0067A01_E08	NA2
588632__vDNAlon096H12_H04	EA
